trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,83.66218830254549,83.66218830254549,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,1);(5,6);(12,6);(18,9)",559,0,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,90.57356443840567,90.57356443840567,00:6;01:1;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(14,0);(9,6);(0,5);(9,9)",601,0,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,72.47901874784287,72.47901874784287,00:4;01:3;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,18);(16,11);(13,13);(6,5)",428,0,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,38.07127254248308,38.07127254248308,00:4;01:1;02:5;03:0,"(0,0);(0,6);(0,12);(0,18)","(14,6);(10,2);(18,16);(5,7)",202,0,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,76.44329576440256,76.44329576440256,00:6;01:3;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,13);(9,7);(16,6);(8,7)",458,0,known_visit_core_500,10,4,8
5,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,61.486707767327914,61.486707767327914,00:2;01:6;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(10,6);(9,17);(1,6);(3,7)",385,0,known_visit_core_500,10,4,8
6,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,92.8336783416453,92.8336783416453,00:2;01:7;02:0;03:1,"(0,0);(0,6);(0,12);(0,18)","(6,2);(13,16);(6,3);(15,9)",613,0,known_visit_core_500,10,4,8
7,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,41.08963484009683,41.08963484009683,00:5;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,5);(11,5);(6,14);(4,8)",239,0,known_visit_core_500,10,4,8
8,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,426.31604572734904,426.31604572734904,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(10,17);(17,18);(15,13);(17,9)",2779,6,known_visit_core_500,10,4,8
9,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,60.57723619150592,60.57723619150592,00:1;01:3;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,18);(18,3);(18,12);(17,5)",336,0,known_visit_core_500,10,4,8
10,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(9,14);(12,11);(8,0);(17,10);(1,0);(13,7);(3,16);(1,8);(17,13);(8,13)",10,True,57.84293384925325,57.84293384925325,00:2;01:5;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(3,16);(13,7);(12,11);(11,11)",324,0,known_visit_core_500,10,4,8
11,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(14,18);(5,5);(5,12);(5,7);(3,3);(1,0);(10,18);(8,1);(12,12);(17,3)",10,True,71.73663754779713,71.73663754779713,00:4;01:0;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(5,13);(5,7);(10,18);(8,1)",438,0,known_visit_core_500,10,4,8
12,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(16,0);(8,4);(13,1);(17,18);(14,9);(2,8);(16,6);(3,6);(4,10);(11,10)",10,True,65.25909070827778,65.25909070827778,00:2;01:5;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,18);(8,5);(8,4);(16,0)",361,0,known_visit_core_500,10,4,8
13,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(18,1);(14,18);(7,7);(8,9);(8,5);(4,6);(11,16);(18,5);(15,5);(3,1)",10,True,52.22043995103223,52.22043995103223,00:5;01:4;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,1);(16,18);(3,1);(8,3)",280,0,known_visit_core_500,10,4,8
14,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(5,7);(13,12);(9,3);(4,4);(6,11);(10,17);(14,4);(12,17);(18,6);(13,11)",10,True,44.267415372839174,44.267415372839174,00:4;01:2;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,6);(8,11);(12,10);(4,4)",249,0,known_visit_core_500,10,4,8
15,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(17,14);(14,5);(5,12);(18,1);(14,11);(18,2);(13,2);(7,15);(3,15);(18,15)",10,True,60.18814885136714,60.18814885136714,00:0;01:0;02:6;03:4,"(0,0);(0,6);(0,12);(0,18)","(13,6);(14,16);(14,5);(18,1)",309,0,known_visit_core_500,10,4,8
16,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(1,15);(4,12);(8,0);(3,18);(9,11);(4,16);(18,8);(10,0);(3,10);(6,0)",10,True,53.86957188318868,53.86957188318868,00:1;01:4;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(4,16);(18,8);(6,0);(5,15)",316,0,known_visit_core_500,10,4,8
17,known_visit,PI,gilbert_elliot,0.8,19,361,4,10,pi_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(17,17);(18,1);(8,7);(17,7);(14,2);(15,1);(13,3);(7,3);(9,7);(6,13)",10,True,97.09198179997763,97.09198179997763,00:0;01:8;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(10,3);(17,7);(8,15);(18,12)",635,0,known_visit_core_500,10,4,8
