trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,18,3,0,19,0,2,0,0,1,71,39,32,586,51,known_visit_core_500,10,4,8
0,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,26,2,1,25,2,2,111,1,0,322,55,267,346,41,known_visit_core_500,10,4,8
0,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,17,2,1,16,2,0,105,1,0,240,37,203,424,45,known_visit_core_500,10,4,8
0,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,27,3,0,28,0,2,0,0,0,76,56,20,575,58,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,38,7,1,37,2,0,2,1,0,121,79,42,96,8,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,1,0,0,2,0,0,0,0,0,7,4,3,196,20,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,1,0,0,2,0,0,0,0,0,7,4,3,202,14,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,39,3,3,34,6,1,0,0,0,90,80,10,126,8,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,38,5,0,38,1,1,0,0,0,113,77,36,201,16,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,33,1,2,26,8,1,0,0,0,84,69,15,228,17,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,19,1,1,19,1,1,0,0,0,50,41,9,260,19,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,30,3,1,29,2,1,0,0,0,83,63,20,226,20,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,13,2,0,13,1,0,2,2,0,43,31,12,163,11,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,20,2,0,21,0,0,0,0,0,63,42,21,138,16,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,36,6,0,37,0,0,0,0,0,98,73,25,113,7,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,1,0,0,2,0,0,0,0,0,14,4,10,187,16,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,49,5,2,46,4,1,1,1,0,148,100,48,80,9,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,13,4,0,14,0,2,0,0,0,42,29,13,180,14,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,0,0,0,1,0,0,0,0,0,2,1,1,218,16,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,12,1,0,13,0,0,0,0,0,45,26,19,173,18,known_visit_core_500,10,4,8
5,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,48,10,0,49,0,0,0,0,0,154,97,57,79,9,known_visit_core_500,10,4,8
5,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,9,0,2,6,4,0,0,0,0,26,21,5,196,19,known_visit_core_500,10,4,8
5,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,7,0,1,7,1,2,0,0,0,26,17,9,201,14,known_visit_core_500,10,4,8
