trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,1,9,10,21.098880901188995,21.098880901188995,01,01,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,2,8,11,24.690006918815754,24.690006918815754,01,01,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,3,2,1,3.9733614630238914,3.9733614630238914,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,4,1,7,2.05399045900181,2.05399045900181,01,01,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,5,17,13,33.39493984843864,33.39493984843864,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,6,4,13,11.144011765192564,11.144011765192564,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,7,0,11,0.46946749367260543,0.46946749367260543,02,02,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,8,5,8,10.890008712625853,10.890008712625853,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,9,0,13,7.403184335539185,7.403184335539185,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,10,14,9,42.48655912931248,42.48655912931248,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
1,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,1,16,15,31.20617959073367,31.20617959073367,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
1,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,2,17,5,33.98504649269237,33.98504649269237,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
