trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,100.079996751292,100.079996751292,0,0,0,60,57,64,0,0,0,0,729,0,206,615,0,63,143,127,79,0.0,20.6,7.9,collision_intent:63;pi_clear_path:3;pi_entry:76;state:64,0.7,0.65625,known_visit_horizon,commitment_horizon,12,h12,10,4
1,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,113.49316984995772,113.49316984995772,0,0,0,65,65,69,0,0,0,0,824,0,192,573,0,65,127,134,58,0.0,19.2,5.8,collision_intent:65;pi_clear_path:3;pi_entry:55;state:69,0.75,0.7065217391304348,known_visit_horizon,commitment_horizon,12,h12,10,4
2,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,65.11949086303518,65.11949086303518,0,0,0,70,38,72,2,0,0,0,432,0,208,621,0,73,135,147,61,0.0,20.8,6.1,collision_intent:73;pi_clear_path:4;pi_entry:57;state:74,0.44999999999999996,0.42361111111111116,known_visit_horizon,commitment_horizon,12,h12,10,4
3,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,67.08889674347364,67.08889674347364,0,0,0,45,39,49,0,0,0,0,483,0,150,447,0,47,103,96,54,0.0,15.0,5.4,collision_intent:47;pi_clear_path:3;pi_entry:51;state:49,0.55,0.596938775510204,known_visit_horizon,commitment_horizon,12,h12,10,4
4,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,81.07716134491734,81.07716134491734,0,0,0,57,47,61,0,0,0,0,577,0,196,585,0,60,136,121,75,0.0,19.6,7.5,collision_intent:60;pi_clear_path:3;pi_entry:72;state:61,0.6000000000000001,0.569672131147541,known_visit_horizon,commitment_horizon,12,h12,10,4
5,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,59.7363854304083,59.7363854304083,0,0,0,60,35,64,0,1,0,0,405,0,173,516,0,61,112,125,48,0.0,17.3,4.8,collision_intent:61;pi_clear_path:3;pi_entry:45;state:64,0.55,0.5078125,known_visit_horizon,commitment_horizon,12,h12,10,4
6,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,67.16937063220928,67.16937063220928,0,0,0,57,39,61,0,2,0,0,467,0,185,552,0,60,125,121,64,0.0,18.5,6.4,collision_intent:60;pi_clear_path:4;pi_entry:60;state:61,0.3999999999999999,0.45491803278688514,known_visit_horizon,commitment_horizon,12,h12,10,4
7,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,89.50817219737561,89.50817219737561,0,0,0,63,51,67,0,0,0,0,639,0,213,636,0,66,147,133,80,0.0,21.3,8.0,collision_intent:66;pi_clear_path:4;pi_entry:76;state:67,0.7,0.585820895522388,known_visit_horizon,commitment_horizon,12,h12,10,4
8,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,64.24624355636898,64.24624355636898,0,0,0,60,37,64,0,1,0,0,441,0,196,585,0,63,133,127,69,0.0,19.6,6.9,collision_intent:63;pi_clear_path:3;pi_entry:66;state:64,0.3999999999999999,0.453125,known_visit_horizon,commitment_horizon,12,h12,10,4
9,known_visit,PI,ideal,1.0,19,361,4,10,pi_h12_ideal,known_visit_10target_300.csv,10,True,86.90488624917822,86.90488624917822,0,0,0,59,50,63,0,0,0,0,620,0,193,576,0,62,131,125,68,0.0,19.3,6.8,collision_intent:62;pi_clear_path:3;pi_entry:65;state:63,0.55,0.5912698412698412,known_visit_horizon,commitment_horizon,12,h12,10,4
