trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(9,10);(8,11);(2,1);(1,7);(17,13);(4,13);(0,11);(5,8);(0,13);(14,9)",10,True,43.253694647542325,43.253694647542325,00:2;01:5;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(1,14);(14,9);(4,7);(16,11)",224,0,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(16,15);(17,5);(14,13);(15,3);(13,7);(11,2);(15,16);(16,6);(9,14);(7,16)",10,True,46.01528100539119,46.01528100539119,00:3;01:2;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,10);(17,5);(14,13);(16,15)",243,0,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(0,4);(8,8);(13,2);(0,2);(12,18);(0,9);(16,12);(4,15);(14,2);(12,9)",10,True,47.61287791264414,47.61287791264414,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(14,2);(12,1);(7,9);(16,12)",267,0,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(15,11);(11,8);(11,16);(7,17);(10,5);(0,15);(0,13);(1,12);(3,14);(2,7)",10,True,43.35083634672269,43.35083634672269,00:3;01:1;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(15,11);(9,18);(8,17);(11,11)",240,0,known_visit_horizon,commitment_horizon,2,h2,10,4
4,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(13,1);(17,14);(8,0);(10,2);(16,10);(4,18);(0,17);(1,0);(12,16);(8,13)",10,True,38.993636710487344,38.993636710487344,00:4;01:1;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(14,6);(17,12);(17,14);(6,18)",217,0,known_visit_horizon,commitment_horizon,2,h2,10,4
5,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(1,9);(12,6);(16,8);(14,1);(3,5);(8,15);(1,6);(10,6);(16,3);(15,14)",10,True,51.45064566600837,51.45064566600837,00:3;01:3;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,8);(1,9);(14,1);(15,14)",277,0,known_visit_horizon,commitment_horizon,2,h2,10,4
6,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(4,12);(9,2);(4,2);(13,8);(16,13);(6,13);(18,2);(4,8);(0,15);(18,7)",10,True,61.77626577534845,61.77626577534845,00:4;01:2;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,6);(18,2);(13,8);(12,1)",345,0,known_visit_horizon,commitment_horizon,2,h2,10,4
7,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(7,3);(17,14);(1,9);(13,14);(10,5);(7,16);(18,15);(16,7);(2,12);(9,2)",10,True,52.437509944992506,52.437509944992506,00:3;01:1;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(1,9);(3,3);(16,7);(16,10)",272,0,known_visit_horizon,commitment_horizon,2,h2,10,4
8,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(4,16);(9,10);(12,8);(12,15);(11,6);(17,7);(0,5);(2,5);(1,5);(17,0)",10,True,70.24422055800747,70.24422055800747,00:1;01:7;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(12,10);(17,0);(12,11);(12,15)",410,0,known_visit_horizon,commitment_horizon,2,h2,10,4
9,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(12,16);(16,17);(2,7);(18,12);(17,1);(8,2);(9,18);(10,3);(1,4);(1,1)",10,True,66.60963300120812,66.60963300120812,00:3;01:2;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(2,7);(18,12);(18,10);(11,4)",357,0,known_visit_horizon,commitment_horizon,2,h2,10,4
10,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(4,2);(13,14);(11,18);(12,10);(5,14);(10,7);(4,14);(8,6);(16,5);(9,18)",10,True,49.34816502031508,49.34816502031508,00:2;01:3;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,5);(5,14);(16,11);(11,11)",253,0,known_visit_horizon,commitment_horizon,2,h2,10,4
11,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(0,16);(7,11);(14,15);(9,7);(5,12);(8,13);(18,17);(8,17);(13,9);(5,2)",10,True,43.213937988322954,43.213937988322954,00:2;01:2;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(9,16);(13,4);(15,17);(18,17)",220,0,known_visit_horizon,commitment_horizon,2,h2,10,4
12,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(16,8);(12,16);(3,3);(5,13);(18,15);(2,17);(2,9);(3,5);(12,6);(9,0)",10,True,65.6079157676368,65.6079157676368,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,15);(9,0);(12,16);(16,8)",363,0,known_visit_horizon,commitment_horizon,2,h2,10,4
13,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(7,7);(3,3);(18,5);(2,10);(12,4);(1,9);(11,11);(13,1);(14,2);(18,3)",10,True,49.48344608214891,49.48344608214891,00:2;01:4;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(11,6);(14,0);(18,5);(14,3)",255,0,known_visit_horizon,commitment_horizon,2,h2,10,4
14,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(18,5);(5,1);(11,15);(4,17);(10,14);(7,16);(10,18);(0,2);(14,0);(7,3)",10,True,45.703629618365916,45.703629618365916,00:4;01:1;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,5);(0,2);(10,14);(10,15)",250,0,known_visit_horizon,commitment_horizon,2,h2,10,4
15,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(5,17);(2,5);(9,16);(12,15);(5,3);(12,10);(9,2);(1,10);(3,3);(0,1)",10,True,33.1749589542942,33.1749589542942,00:1;01:4;02:1;03:4,"(0,0);(0,6);(0,12);(0,18)","(6,6);(9,2);(11,16);(12,10)",181,0,known_visit_horizon,commitment_horizon,2,h2,10,4
16,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(9,16);(12,0);(5,5);(0,5);(7,3);(1,13);(13,5);(13,1);(9,18);(15,14)",10,True,41.81760922216245,41.81760922216245,00:3;01:3;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(13,5);(5,13);(15,14);(7,5)",216,0,known_visit_horizon,commitment_horizon,2,h2,10,4
17,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(10,11);(16,16);(14,2);(2,7);(17,1);(1,6);(18,1);(11,17);(4,8);(10,9)",10,True,49.11537868450455,49.11537868450455,00:0;01:7;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(9,1);(18,1);(12,0);(13,8)",257,0,known_visit_horizon,commitment_horizon,2,h2,10,4
18,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(16,11);(17,4);(13,1);(13,13);(14,12);(2,1);(4,16);(14,2);(12,10);(8,5)",10,True,50.0529100201027,50.0529100201027,00:4;01:1;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(17,0);(14,7);(17,4);(12,5)",252,0,known_visit_horizon,commitment_horizon,2,h2,10,4
19,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(2,7);(14,9);(15,12);(9,15);(11,4);(6,18);(10,5);(11,1);(8,18);(6,4)",10,True,41.77335107038688,41.77335107038688,00:3;01:2;02:0;03:5,"(0,0);(0,6);(0,12);(0,18)","(8,11);(11,1);(11,16);(14,9)",224,0,known_visit_horizon,commitment_horizon,2,h2,10,4
20,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(7,4);(6,9);(8,14);(16,6);(4,3);(4,16);(1,12);(2,18);(14,4);(7,0)",10,True,44.00017128310639,44.00017128310639,00:3;01:3;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(8,9);(14,4);(4,6);(14,6)",222,0,known_visit_horizon,commitment_horizon,2,h2,10,4
21,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(16,12);(10,18);(2,11);(9,15);(16,13);(9,8);(12,17);(13,9);(10,10);(16,17)",10,True,49.96517514434977,49.96517514434977,00:2;01:4;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(10,13);(14,17);(12,15);(13,9)",270,0,known_visit_horizon,commitment_horizon,2,h2,10,4
22,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(16,6);(3,4);(5,15);(15,18);(7,0);(9,12);(3,2);(2,9);(5,1);(15,14)",10,True,66.42025264791576,66.42025264791576,00:2;01:5;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,6);(15,18);(9,13);(9,12)",381,0,known_visit_horizon,commitment_horizon,2,h2,10,4
23,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(12,7);(13,3);(10,6);(2,13);(11,9);(11,16);(16,7);(6,18);(14,9);(1,16)",10,True,49.19876279746075,49.19876279746075,00:1;01:3;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,3);(6,17);(16,7);(10,6)",269,0,known_visit_horizon,commitment_horizon,2,h2,10,4
24,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(4,17);(16,16);(11,3);(8,8);(10,10);(5,11);(13,17);(4,2);(1,0);(3,16)",10,True,63.831448324847706,63.831448324847706,00:3;01:0;02:3;03:4,"(0,0);(0,6);(0,12);(0,18)","(6,12);(9,13);(13,16);(13,17)",353,0,known_visit_horizon,commitment_horizon,2,h2,10,4
25,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(4,5);(2,9);(6,4);(10,6);(2,6);(6,17);(4,12);(5,10);(6,18);(8,15)",10,True,23.238418055569436,23.238418055569436,00:1;01:4;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(2,12);(10,6);(5,9);(8,12)",126,0,known_visit_horizon,commitment_horizon,2,h2,10,4
26,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(5,11);(17,0);(17,10);(8,15);(7,11);(1,18);(5,1);(9,4);(3,12);(14,1)",10,True,41.93350210152292,41.93350210152292,00:4;01:1;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,0);(17,9);(2,18);(15,12)",219,0,known_visit_horizon,commitment_horizon,2,h2,10,4
27,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(1,7);(5,4);(3,12);(7,14);(5,13);(5,15);(8,16);(1,0);(1,1);(9,13)",10,True,26.927270633671892,26.927270633671892,00:3;01:3;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(8,4);(7,14);(4,5);(9,13)",145,0,known_visit_horizon,commitment_horizon,2,h2,10,4
28,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(16,8);(9,8);(14,12);(7,1);(5,11);(2,5);(17,14);(4,17);(5,2);(10,3)",10,True,49.84910627887031,49.84910627887031,00:2;01:3;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(1,7);(16,8);(17,12);(8,1)",265,0,known_visit_horizon,commitment_horizon,2,h2,10,4
29,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(8,0);(17,10);(9,18);(6,11);(11,8);(2,0);(15,5);(7,18);(7,14);(12,16)",10,True,41.67446208015574,41.67446208015574,00:2;01:2;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(8,11);(7,14);(15,3);(17,10)",214,0,known_visit_horizon,commitment_horizon,2,h2,10,4
30,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(13,2);(3,5);(4,3);(10,16);(12,17);(7,5);(4,8);(12,7);(14,18);(18,4)",10,True,51.523646911116096,51.523646911116096,00:3;01:3;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,4);(10,8);(10,14);(14,15)",276,0,known_visit_horizon,commitment_horizon,2,h2,10,4
31,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(14,2);(18,12);(15,10);(1,17);(4,2);(12,0);(9,7);(6,12);(3,3);(0,7)",10,True,50.78984533744539,50.78984533744539,00:4;01:3;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,12);(12,0);(3,7);(14,2)",269,0,known_visit_horizon,commitment_horizon,2,h2,10,4
32,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(12,3);(14,17);(3,14);(13,17);(10,17);(8,9);(2,3);(4,4);(11,7);(10,0)",10,True,36.44764250351357,36.44764250351357,00:4;01:2;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(10,0);(11,6);(14,15);(9,17)",198,0,known_visit_horizon,commitment_horizon,2,h2,10,4
33,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(3,1);(2,1);(11,5);(10,18);(1,7);(3,15);(11,8);(18,9);(8,15);(10,16)",10,True,45.9088991097749,45.9088991097749,00:4;01:3;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(11,5);(12,16);(3,0);(18,9)",240,0,known_visit_horizon,commitment_horizon,2,h2,10,4
34,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(15,17);(9,13);(9,17);(9,12);(7,17);(15,11);(2,10);(12,14);(16,4);(12,5)",10,True,44.13508814346803,44.13508814346803,00:0;01:3;02:4;03:3,"(0,0);(0,6);(0,12);(0,18)","(9,17);(15,11);(12,14);(15,17)",244,0,known_visit_horizon,commitment_horizon,2,h2,10,4
35,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(4,10);(18,15);(18,7);(5,0);(14,3);(2,4);(7,7);(1,9);(3,9);(0,10)",10,True,53.360601933483885,53.360601933483885,00:3;01:3;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,11);(18,15);(14,3);(0,9)",306,0,known_visit_horizon,commitment_horizon,2,h2,10,4
36,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h2_ge_075,known_visit_10target_300.csv,"(10,2);(4,9);(16,16);(0,1);(3,1);(7,7);(8,4);(1,4);(16,15);(17,7)",10,True,76.53357923695756,76.53357923695756,00:4;01:2;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,7);(4,9);(16,16);(14,16)",463,0,known_visit_horizon,commitment_horizon,2,h2,10,4
