trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,5,1,0,6,0,0,0,0,0,21,12,9,121,0,known_visit_horizon,commitment_horizon,3,h3,10,4
0,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,28,6,0,29,0,0,0,0,0,72,57,15,71,0,known_visit_horizon,commitment_horizon,3,h3,10,4
0,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,12,3,0,13,0,0,0,0,0,44,26,18,98,0,known_visit_horizon,commitment_horizon,3,h3,10,4
0,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,1,0,0,2,0,0,0,0,0,6,4,2,136,0,known_visit_horizon,commitment_horizon,3,h3,10,4
1,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,13,1,0,14,0,0,0,0,0,35,28,7,152,0,known_visit_horizon,commitment_horizon,3,h3,10,4
1,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,24,4,0,25,0,0,0,0,0,67,49,18,121,0,known_visit_horizon,commitment_horizon,3,h3,10,4
1,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,23,4,0,24,0,1,0,0,0,59,48,11,128,0,known_visit_horizon,commitment_horizon,3,h3,10,4
1,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,10,1,0,11,0,0,0,0,0,27,22,5,160,0,known_visit_horizon,commitment_horizon,3,h3,10,4
2,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,20,4,0,21,0,0,0,0,0,54,42,12,108,0,known_visit_horizon,commitment_horizon,3,h3,10,4
2,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,24,4,0,25,0,0,0,0,0,58,49,9,105,0,known_visit_horizon,commitment_horizon,3,h3,10,4
