trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,47.70857738717133,47.70857738717133,0,0,0,42,28,46,0,0,0,0,336,0,127,355,25,44,83,90,37,0.10080645161290322,12.7,3.7,collision_intent:44;hipc_entry:37;state:46,0.5,0.5,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,54.64073203607038,54.64073203607038,0,0,0,58,32,62,0,0,0,0,367,0,189,503,61,60,129,122,67,0.15885416666666666,18.9,6.7,collision_intent:60;hipc_entry:67;state:62,0.5,0.4838709677419355,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,54.81553433566556,54.81553433566556,0,0,0,62,32,66,0,1,0,0,361,0,177,494,34,65,112,131,46,0.1021021021021021,17.7,4.6,collision_intent:65;hipc_entry:46;state:66,0.30000000000000004,0.3787878787878789,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,83.1998730563048,83.1998730563048,0,0,0,51,48,55,0,0,0,0,605,0,155,418,44,52,103,107,48,0.1437908496732026,15.5,4.8,collision_intent:52;hipc_entry:48;state:55,0.7,0.6681818181818182,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,47.99594840143483,47.99594840143483,0,0,0,50,28,54,0,1,0,0,321,0,138,371,42,52,86,106,32,0.16342412451361868,13.8,3.2,collision_intent:52;hipc_entry:32;state:54,0.3500000000000001,0.4351851851851851,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,64.62371236210667,64.62371236210667,0,0,0,56,37,60,0,1,0,0,448,0,174,465,55,59,115,119,55,0.16034985422740525,17.4,5.5,collision_intent:59;hipc_entry:55;state:60,0.6499999999999999,0.5416666666666667,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,66.62468817724407,66.62468817724407,0,0,0,55,39,59,0,0,0,0,464,0,158,412,60,57,101,116,42,0.19933554817275748,15.8,4.2,collision_intent:57;hipc_entry:42;state:59,0.5,0.5381355932203389,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,75.94394502624164,75.94394502624164,0,0,0,58,43,62,0,1,0,0,535,0,190,509,58,61,129,123,67,0.15104166666666666,19.0,6.7,collision_intent:61;hipc_entry:67;state:62,0.44999999999999996,0.5161290322580645,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,84.19810332119714,84.19810332119714,0,0,0,54,49,57,1,0,0,0,606,0,179,481,55,57,122,115,64,0.1506849315068493,17.9,6.4,collision_intent:57;hipc_entry:64;state:58,0.6000000000000001,0.6271929824561404,known_visit_horizon,commitment_horizon,8,h8,10,4
9,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h8_rayleigh_m50_66,known_visit_10target_300.csv,10,True,44.60365978924434,44.60365978924434,0,0,0,56,26,60,0,0,0,0,291,0,154,407,53,58,96,118,36,0.1853146853146853,15.4,3.6,collision_intent:58;hipc_entry:36;state:60,0.44999999999999996,0.40833333333333344,known_visit_horizon,commitment_horizon,8,h8,10,4
